"*ID（ID列は編集不可・新規で利用者登録の場合は空欄）","*ログインID","パスワード（半角8文字以上で、アルファベットと数字を混在）","*部署コード（既存部署の部署コードを入力。部署コード入力時は部署名空欄可。部署コード、部署名ともに入力時は部署コード入力値を利用者に設定します。","*部署名（部署コード空欄時は入力必須。存在しない部署名入力時は部署情報の登録も行います。）","*システム利用権限 （システム管理者 現場責任者 一般　のいずれかを入力）","勤務地 （東京 横浜 大阪 埼玉 東京開発センター 名古屋 Aゾーン　a店 Aゾーン　b店 Aゾーン　c店 Aゾーン　d店 本社 ddd@test.com 北海道 東京都千代田区 東京都港区 東京都町田市 神奈川県横浜市青葉区　のいずれかを入力）","職制 （次長 課長 主任 一般 係長 新人 部長 役員 その他 マネージャー ゾーン管理者 SD PL PM シニアマネージャー 副部長　から空白区切りで複数入力可）","肩書き","上司（上司となる利用者のログインIDを空白区切りで複数入力可）","*氏","名","氏カナ","名カナ","生年月日（yyyy/mm/dd）","性別(0:男性　1:女性　いずれかを入力)","*メールアドレス","電話番号１","電話番号２","FAX番号","郵便番号","都道府県","住所１","住所２（建物より後）","採用年月（yyyy/mm/dd）但し、ddは常に1日で登録されます","卒業年月（yyyy/mm/dd）但し、ddは常に1日で登録されます","備考","利用者コード","退職フラグ（退職フラグ者として登録する場合1を入力）","ログイン中止（Leafへのログインを中止する場合1を入力）","削除（Leafから削除する場合1を入力）","適用開始日（yyyy/mm/dd）","予備１ （講師登壇可能（管理職向け） 講師登壇可能（中堅層向け） 講師登壇可能（若手層向け） 講師登壇可能（新人向け） 講師登壇不可　のいずれかを入力）","予備２ （正社員（総合職） 正社員（技術職） 契約社員（総合職） 契約社員（技術職） 地域限定社員　のいずれかを入力）","予備３","予備４","メールアドレス２","パスワード強制変更（次回ログイン時に強制変更させる場合1を入力）"
"id","login_id","password","division_cd","division_id","role_id","location_id","office_organization_id","post","manager_user_id","lastname","firstname","lastname_kana","firstname_kana","birthday","sex","mail_address","tel1","tel2","fax","zip_code","prefecture","address1","address2","initiation_year_month","graduation_year_month","memo","member_cd","retired_flg","login_stoped","del_flg","date_from","first_reserve_id","second_reserve_id","third_reserve","fouth_reserve","mail_address2","password_change_flg"
"1","admin","","b01","ITサービス事業部","システム管理者","","","","","関口","悠真","","","","","negishi-s@insource.co.jp","","","","","","","","","","","","","","","2020/07/14","","","","",""
"2","t01","","b02","東京本社","一般","東京","課長","課長","","小池","怜","トウキョウ","イチロウ","1967/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-01","","","","2018/11/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"3","t02","","b02","東京本社","一般","東京","部長","部長","","加藤","結愛","トウキョウ","ジロウ","1972/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-02","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"4","t03","","b0101","東京本社 総務部","一般","東京","課長","課長","t17 t110 t07","松本","颯真","トウキョウ","サブロウ","1972/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-03","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"5","t04","","b01030101","東京本社 システム本部 生産システム部 開発1課","一般","東京開発センター","課長","課長","t100","山田","陽葵","トウキョウ","シロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-04","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"6","t05","","b010303","東京本社 システム本部 流通システム部","一般","東京開発センター","部長","部長","t100","加藤","怜","トウキョウ","ゴロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-05","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"7","t06","","b0101","東京本社 総務部","一般","東京","課長","課長","t03 t04","山田","蓮","トウキョウ","ロクロウ","1978/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-06","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"8","t07","","b010302","東京本社 システム本部 運用管理システム部","一般","東京開発センター","部長","部長","t01","中村","悠斗","トウキョウ","ナナコ","1978/01/01","1","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-07","","","","2015/09/28","講師登壇可能（管理職向け）","正社員（総合職）","","",""
"9","t08","","b01030201","東京本社 システム本部 運用管理システム部 管理1課","一般","東京開発センター","課長","課長","t07","根岸","陽葵","トウキョウ","ハチロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-08","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
"10","t09","","b01030202","東京本社 システム本部 運用管理システム部 管理2課","一般","東京開発センター","課長","課長","t07","佐藤","陽葵","トウキョウ","クロウ","1982/01/01","0","negishi-s@insource.co.jp","","","","","","","","2001/01/01","2001/01/01","","tokyo-09","","","","2015/09/28","講師登壇可能（中堅層向け）","正社員（総合職）","","",""
